Year,Estimate,Std. error,Sigma,L95% CI,U95% CI
1982,583781.00,38064.00,0.07,508414.00,659149.00
1983,752456.00,80566.00,0.11,589632.00,915281.00
1984,651058.00,47126.00,0.07,557748.00,744369.00
1985,841108.00,113438.00,0.13,616501.00,1065715.00
1986,838217.00,83855.00,0.10,672184.00,1004251.00
1987,677054.00,44120.00,0.07,589697.00,764411.00
1988,507560.00,35581.00,0.07,437109.00,578011.00
1989,292247.00,19986.00,0.07,252675.00,331818.00
1990,423835.00,36466.00,0.09,351632.00,496038.00
1991,488892.00,51108.00,0.10,387697.00,590087.00
1992,577560.00,68603.00,0.12,441726.00,713395.00
1993,810608.00,99259.00,0.12,614075.00,1007141.00
1994,1232175.00,152212.00,0.12,927751.00,1536598.00
1995,757910.00,75473.00,0.10,608473.00,907346.00
1996,607198.00,88384.00,0.15,432198.00,782198.00
1997,485643.00,70802.00,0.15,344039.00,627247.00
1998,514339.00,46852.00,0.09,421572.00,607106.00
1999,488337.00,45289.00,0.09,398665.00,578008.00
2000,483808.00,44188.00,0.09,396315.00,571301.00
2001,960917.00,91898.00,0.10,777122.00,1144712.00
2002,536342.00,53802.00,0.10,428738.00,643946.00
2003,498873.00,62220.00,0.12,374432.00,623313.00
2004,397948.00,34332.00,0.09,329970.00,465926.00
2005,450705.00,63363.00,0.14,325247.00,576164.00
2006,394024.00,23785.00,0.06,346928.00,441119.00
2007,733402.00,195956.00,0.26,341489.00,1125315.00
2008,476697.00,49413.00,0.10,378859.00,574535.00
2009,716637.00,62705.00,0.09,592481.00,840793.00
2010,887836.00,117022.00,0.13,656132.00,1119540.00
2011,836822.00,79207.00,0.09,679992.00,993653.00
2012,987973.00,91589.00,0.09,804796.00,1171150.00
2013,750889.00,124917.00,0.17,501055.00,1000723.00
2014,1122144.00,143618.00,0.13,831892.00,1412397.00
2015,982470.00,113501.00,0.12,755469.00,1209471.00
2016,640359.00,61639.00,0.10,413358.00,867361.00
2017,346693.00,31334.00,0.09,223415.00,469971.00
